Brand,Usage_Type,CPU_Brand,GPU_Brand,GPU_Model,CPU_Cores,CPU_Frequency_GHz,RAM_GB,Storage_GB,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Screen_Size
Dell,Professional,Apple,AMD,RTX 3060,4,2.6,32,128,1448,2200,3648,2520.98,1.45,15.0
Dell,Professional,Intel,NVIDIA,RTX 3050,12,2.61,32,256,2904,1500,4404,2928.1,1.5,16.0
Asus,Professional,Intel,AMD,RX 6700,4,3.66,4,1024,1748,2800,4548,3145.25,1.45,14.0
Dell,Professional,Apple,AMD,RX 6700,2,1.31,8,128,1019,2800,3819,2574.11,1.48,15.3
Lenovo,Professional,AMD,Intel,RTX 3060,6,1.83,8,256,1439,2200,3639,2394.91,1.52,15.1
Lenovo,Professional,AMD,AMD,RTX 3050,6,1.24,4,1024,2664,1500,4164,2800.0,1.49,15.4
Lenovo,Professional,Apple,Intel,RX 6700,4,2.25,8,2048,892,2800,3692,2707.69,1.36,16.3
Dell,Professional,Apple,AMD,RX 6600,12,1.62,64,256,2688,2000,4688,3158.33,1.48,16.4
Asus,Professional,Apple,NVIDIA,RTX 3080,2,3.42,64,2048,984,3800,4784,3791.73,1.26,12.5
MSI,Professional,Apple,Intel,Iris Xe,12,3.75,32,128,3540,900,4440,2720.97,1.63,15.1
Dell,Professional,Intel,AMD,RTX 3080,4,1.92,16,1024,824,3800,4624,3328.63,1.39,17.1
Lenovo,Professional,Apple,Intel,RTX 3060,8,2.33,32,128,2392,2200,4592,3131.81,1.47,15.3
Dell,Professional,AMD,NVIDIA,RX 6700,6,2.62,16,1024,1698,2800,4498,3209.51,1.4,17.5
Acer,Professional,Apple,Intel,RTX 3060,4,2.64,32,2048,1448,2200,3648,2771.91,1.32,15.4
Apple,Professional,AMD,NVIDIA,RTX 3070,2,3.36,16,256,642,3000,3642,2661.26,1.37,14.3
HP,Professional,Intel,AMD,RTX 3060,4,3.52,4,512,1552,2200,3752,2537.1,1.48,14.3
Apple,Professional,Apple,Intel,RX 6600,6,3.5,16,512,2646,2000,4646,2924.62,1.59,15.4
Acer,Professional,Apple,AMD,RTX 3060,4,1.37,16,512,1472,2200,3672,2471.65,1.49,16.1
Asus,Professional,AMD,NVIDIA,Iris Xe,8,1.35,32,512,3072,900,3972,2471.85,1.61,16.1
Dell,Professional,Intel,AMD,RX 6600,12,1.73,32,128,2568,2000,4568,2977.1,1.53,15.1
Asus,Professional,AMD,AMD,RTX 3050,8,2.71,64,2048,2400,1500,3900,2922.35,1.33,14.4
Asus,Professional,AMD,NVIDIA,RX 6700,4,2.62,16,1024,1112,2800,3912,2972.03,1.32,15.8
Asus,Professional,Apple,NVIDIA,RTX 3070,6,1.52,8,1024,1770,3000,4770,3328.66,1.43,15.5
MSI,Professional,Apple,AMD,RX 6600,6,2.23,32,512,2058,2000,4058,2709.28,1.5,16.3
MSI,Professional,Apple,NVIDIA,RTX 3080,2,1.84,4,512,542,3800,4342,3201.03,1.36,16.0
HP,Professional,Apple,NVIDIA,RTX 3070,8,2.89,8,1024,1816,3000,4816,3342.81,1.44,15.7
Dell,Professional,Intel,NVIDIA,RX 6600,6,2.01,16,2048,2868,2000,4868,3228.48,1.51,15.5
Apple,Professional,Intel,Intel,RTX 3070,2,1.8,4,128,1022,3000,4022,2787.25,1.44,15.0
